iter	Passed	Remaining
0	147	147507
1	150	75011
2	152	50788
3	155	38691
4	157	31430
5	160	26552
6	163	23192
7	166	20628
8	169	18623
9	171	16987
10	174	15682
11	178	14656
12	180	13713
13	183	12913
14	185	12196
15	188	11594
16	192	11109
17	197	10755
18	199	10324
19	202	9927
20	205	9578
21	210	9370
22	213	9084
23	216	8809
24	219	8555
25	222	8330
26	227	8182
27	229	7963
28	231	7760
29	234	7576
30	237	7421
31	240	7282
32	243	7130
33	245	6974
34	247	6820
35	249	6674
36	251	6537
37	253	6427
38	255	6301
39	257	6182
40	259	6068
41	261	5958
42	263	5857
43	265	5760
44	268	5687
45	269	5598
46	271	5511
47	273	5427
48	275	5345
49	277	5270
50	279	5195
51	281	5123
52	283	5063
53	285	4997
54	287	4932
55	288	4869
56	290	4808
57	292	4749
58	294	4692
59	296	4637
60	298	4600
61	300	4551
62	302	4501
63	304	4453
64	306	4407
65	308	4362
66	310	4318
67	311	4274
68	314	4240
69	316	4201
70	318	4161
71	319	4123
72	321	4087
73	323	4051
74	325	4016
75	327	3981
76	329	3952
77	331	3920
78	333	3888
79	335	3856
80	337	3826
81	339	3796
82	340	3766
83	342	3731
84	344	3703
85	346	3681
86	348	3654
87	350	3627
88	351	3600
89	353	3574
90	355	3550
91	357	3528
92	359	3505
93	361	3486
94	363	3464
95	365	3441
96	367	3419
97	369	3397
98	371	3376
99	372	3355
100	374	3333
101	377	3319
102	378	3300
103	380	3280
104	382	3261
105	384	3241
106	386	3222
107	387	3203
108	389	3185
109	391	3170
110	393	3154
111	395	3138
112	397	3121
113	399	3105
114	401	3088
115	403	3074
116	405	3061
117	408	3051
118	410	3039
119	412	3027
120	415	3015
121	417	3003
122	419	2991
123	421	2980
124	424	2969
125	426	2956
126	428	2945
127	430	2934
128	432	2923
129	435	2911
130	437	2901
131	439	2892
132	441	2881
133	444	2870
134	446	2859
135	448	2848
136	450	2836
137	452	2826
138	454	2817
139	456	2806
140	458	2795
141	461	2788
142	464	2784
143	467	2780
144	472	2785
145	475	2778
146	477	2768
147	479	2759
148	481	2748
149	483	2739
150	488	2745
151	490	2736
152	492	2726
153	494	2716
154	497	2710
155	500	2706
156	504	2706
157	506	2697
158	508	2688
159	510	2678
160	511	2667
161	513	2657
162	516	2653
163	518	2645
164	520	2635
165	522	2625
166	524	2616
167	526	2606
168	528	2596
169	530	2588
170	532	2581
171	534	2571
172	536	2562
173	537	2553
174	539	2544
175	541	2535
176	543	2527
177	545	2519
178	547	2512
179	549	2505
180	551	2496
181	553	2488
182	555	2480
183	557	2472
184	559	2464
185	562	2461
186	564	2454
187	566	2447
188	568	2440
189	570	2432
190	572	2424
191	574	2416
192	576	2408
193	578	2402
194	580	2394
195	581	2386
196	583	2378
197	585	2371
198	587	2365
199	589	2357
200	591	2349
201	593	2344
202	595	2337
203	597	2330
204	599	2323
205	600	2316
206	602	2309
207	604	2301
208	606	2294
209	608	2289
210	610	2284
211	612	2277
212	614	2270
213	616	2264
214	618	2257
215	620	2250
216	621	2243
217	624	2241
218	626	2234
219	628	2227
220	630	2221
221	631	2214
222	633	2207
223	635	2201
224	637	2194
225	639	2190
226	641	2184
227	643	2178
228	645	2172
229	647	2166
230	649	2160
231	650	2154
232	652	2148
233	654	2143
234	656	2138
235	658	2132
236	660	2126
237	662	2120
238	663	2114
239	665	2108
240	667	2101
241	671	2102
242	674	2101
243	676	2097
244	678	2092
245	681	2087
246	683	2082
247	685	2078
248	687	2074
249	689	2069
250	692	2066
251	694	2062
252	696	2057
253	698	2052
254	700	2047
255	704	2047
256	706	2043
257	708	2038
258	710	2034
259	712	2028
260	714	2023
261	717	2019
262	720	2019
263	722	2014
264	724	2009
265	726	2004
266	728	1999
267	729	1993
268	731	1988
269	735	1987
270	737	1983
271	739	1978
272	740	1973
273	742	1968
274	744	1962
275	746	1957
276	748	1954
277	750	1949
278	752	1944
279	754	1939
280	755	1934
281	757	1929
282	759	1924
283	761	1919
284	763	1914
285	765	1911
286	767	1906
287	769	1901
288	770	1896
289	772	1891
290	774	1887
291	776	1882
292	778	1877
293	780	1874
294	782	1869
295	784	1865
296	786	1860
297	787	1855
298	789	1851
299	791	1846
300	793	1841
301	795	1838
302	797	1833
303	799	1829
304	801	1825
305	803	1821
306	805	1817
307	806	1812
308	808	1808
309	810	1804
310	812	1800
311	814	1796
312	816	1791
313	818	1787
314	819	1783
315	822	1779
316	823	1775
317	825	1771
318	828	1767
319	829	1763
320	831	1758
321	833	1754
322	835	1750
323	837	1747
324	839	1742
325	840	1738
326	843	1735
327	845	1731
328	847	1727
329	848	1723
330	850	1719
331	852	1714
332	854	1710
333	855	1706
334	858	1703
335	860	1699
336	861	1695
337	863	1691
338	865	1687
339	867	1683
340	869	1679
341	870	1675
342	873	1672
343	875	1669
344	877	1665
345	879	1662
346	881	1658
347	883	1654
348	885	1651
349	887	1647
350	890	1646
351	892	1642
352	894	1638
353	895	1634
354	897	1631
355	899	1627
356	901	1623
357	903	1619
358	905	1617
359	907	1613
360	909	1609
361	911	1606
362	913	1602
363	915	1599
364	917	1595
365	919	1593
366	921	1589
367	923	1586
368	925	1583
369	927	1579
370	929	1576
371	931	1572
372	933	1569
373	936	1567
374	938	1564
375	941	1561
376	942	1558
377	944	1554
378	946	1551
379	948	1547
380	950	1544
381	952	1541
382	954	1537
383	956	1533
384	957	1530
385	959	1526
386	961	1523
387	963	1519
388	965	1515
389	967	1513
390	969	1509
391	971	1506
392	973	1503
393	974	1499
394	976	1496
395	978	1492
396	980	1488
397	982	1486
398	984	1482
399	986	1479
400	988	1475
401	989	1472
402	991	1468
403	993	1465
404	995	1461
405	997	1459
406	999	1456
407	1001	1453
408	1003	1449
409	1005	1446
410	1006	1442
411	1008	1439
412	1010	1436
413	1012	1432
414	1014	1430
415	1016	1427
416	1018	1423
417	1020	1420
418	1021	1417
419	1023	1413
420	1025	1410
421	1027	1407
422	1029	1404
423	1031	1401
424	1033	1398
425	1035	1395
426	1037	1392
427	1039	1388
428	1040	1385
429	1042	1382
430	1045	1379
431	1047	1376
432	1048	1373
433	1050	1370
434	1052	1366
435	1054	1363
436	1055	1360
437	1057	1357
438	1059	1354
439	1061	1351
440	1063	1348
441	1065	1345
442	1067	1342
443	1069	1339
444	1071	1335
445	1072	1332
446	1074	1329
447	1077	1327
448	1078	1323
449	1080	1320
450	1082	1317
451	1084	1314
452	1086	1311
453	1087	1308
454	1089	1305
455	1092	1302
456	1094	1299
457	1095	1296
458	1097	1293
459	1099	1290
460	1101	1287
461	1103	1284
462	1104	1281
463	1107	1279
464	1109	1276
465	1111	1273
466	1112	1270
467	1114	1266
468	1116	1264
469	1118	1260
470	1119	1257
471	1121	1254
472	1124	1252
473	1125	1249
474	1127	1246
475	1129	1243
476	1131	1240
477	1133	1237
478	1135	1234
479	1137	1231
480	1139	1229
481	1141	1226
482	1142	1223
483	1144	1220
484	1146	1217
485	1148	1214
486	1150	1211
487	1152	1208
488	1154	1206
489	1156	1203
490	1158	1200
491	1160	1197
492	1162	1195
493	1163	1192
494	1165	1189
495	1167	1186
496	1169	1183
497	1171	1181
498	1173	1178
499	1175	1175
500	1177	1172
501	1179	1169
502	1181	1167
503	1182	1164
504	1184	1161
505	1187	1158
506	1188	1156
507	1190	1153
508	1192	1150
509	1194	1147
